size,seed,role,algo,repeat,ok,error,time_ns,tracemalloc_peak_bytes,rss_delta_bytes,ascii_h,ascii_w,wall_count,corridor_count,path_length,explored_count,visited_count,other_count
13,1,solver,Backtracking,1,1,,1858700,70860,0,27,27,390,339,199,120,319,0
13,2,solver,Backtracking,2,1,,1915400,70860,0,27,27,390,339,199,120,319,0
13,3,solver,Backtracking,3,1,,1890600,70860,0,27,27,390,339,199,120,319,0
13,4,solver,Backtracking,4,1,,1857700,70860,0,27,27,390,339,199,120,319,0
13,5,solver,Backtracking,5,1,,1932400,70860,0,27,27,390,339,199,120,319,0
13,1,solver,AStar,1,1,,1644900,61332,0,27,27,390,339,199,94,293,0
13,2,solver,AStar,2,1,,1743000,61332,0,27,27,390,339,199,94,293,0
13,3,solver,AStar,3,1,,1590100,61332,0,27,27,390,339,199,94,293,0
13,4,solver,AStar,4,1,,1652100,61332,0,27,27,390,339,199,94,293,0
13,5,solver,AStar,5,1,,1602400,61332,0,27,27,390,339,199,94,293,0
14,1,generator,Backtracking,1,1,,2975500,22676,0,29,29,448,393,0,0,0,0
14,2,generator,Backtracking,2,1,,2712100,22068,0,29,29,448,393,0,0,0,0
14,3,generator,Backtracking,3,1,,2760200,22124,0,29,29,448,393,0,0,0,0
14,4,generator,Backtracking,4,1,,2777400,21236,0,29,29,448,393,0,0,0,0
14,5,generator,Backtracking,5,1,,2732800,21620,0,29,29,448,393,0,0,0,0
14,1,generator,Kruskal,1,1,,1428800,78956,8192,29,29,448,393,0,0,0,0
14,2,generator,Kruskal,2,1,,1411100,78956,16384,29,29,448,393,0,0,0,0
14,3,generator,Kruskal,3,1,,3890000,78956,8192,29,29,448,393,0,0,0,0
14,4,generator,Kruskal,4,1,,2058100,78956,0,29,29,448,393,0,0,0,0
14,5,generator,Kruskal,5,1,,2477700,78956,0,29,29,448,393,0,0,0,0
14,1,solver,Backtracking,1,1,,3858000,94428,8192,29,29,448,393,203,170,373,0
14,2,solver,Backtracking,2,1,,5020500,94428,4096,29,29,448,393,203,170,373,0
14,3,solver,Backtracking,3,1,,2196600,94428,0,29,29,448,393,203,170,373,0
14,4,solver,Backtracking,4,1,,2283200,94428,0,29,29,448,393,203,170,373,0
14,5,solver,Backtracking,5,1,,2598100,94428,0,29,29,448,393,203,170,373,0
14,1,solver,AStar,1,1,,1727600,63684,0,29,29,448,393,203,98,301,0
14,2,solver,AStar,2,1,,1653500,63684,0,29,29,448,393,203,98,301,0
14,3,solver,AStar,3,1,,1681300,63684,0,29,29,448,393,203,98,301,0
14,4,solver,AStar,4,1,,2248100,63684,0,29,29,448,393,203,98,301,0
14,5,solver,AStar,5,1,,1645100,63684,0,29,29,448,393,203,98,301,0
15,1,generator,Backtracking,1,1,,3161400,22980,0,31,31,510,451,0,0,0,0
15,2,generator,Backtracking,2,1,,3159400,23868,0,31,31,510,451,0,0,0,0
15,3,generator,Backtracking,3,1,,3016300,22644,0,31,31,510,451,0,0,0,0
15,4,generator,Backtracking,4,1,,3206200,22476,0,31,31,510,451,0,0,0,0
15,5,generator,Backtracking,5,1,,3223200,24652,0,31,31,510,451,0,0,0,0
15,1,generator,Kruskal,1,1,,1610600,89908,8192,31,31,510,451,0,0,0,0
